index,game_id,season,gameType,awayTeam.id,awayTeam.abbrev,awayTeam.logo,homeTeam.id,homeTeam.abbrev,homeTeam.logo,homeTeam.placeName.default,awayTeam.placeName.default,awayTeam.score,homeTeam.score,winningGoalScorer.playerId,winningGoalie.playerId,gameState,link,game_date_time,start_time,game_date
1986,2024021035,20242025,2,18,NSH,https://assets.nhle.com/logos/nhl/svg/NSH_light.svg,28,SJS,https://assets.nhle.com/logos/nhl/svg/SJS_light.svg,San Jose,Nashville,3,2,8479356,8477424,OFF,https://api-web.nhle.com/v1/gamecenter/2024021035/play-by-play,2025-03-11 22:30:00-04:00,10:30 PM,2025-03-11
1,2024021036,20242025,2,7,BUF,https://assets.nhle.com/logos/nhl/svg/BUF_light.svg,17,DET,https://assets.nhle.com/logos/nhl/svg/DET_light.svg,Detroit,Buffalo,3,7,8475765,8475852,OFF,https://api-web.nhle.com/v1/gamecenter/2024021036/play-by-play,2025-03-12 19:30:00-04:00,7:30 PM,2025-03-12
39,2024021037,20242025,2,23,VAN,https://assets.nhle.com/logos/nhl/svg/VAN_light.svg,20,CGY,https://assets.nhle.com/logos/nhl/svg/CGY_light.svg,Calgary,Vancouver,4,3,,8480947,OFF,https://api-web.nhle.com/v1/gamecenter/2024021037/play-by-play,2025-03-12 21:00:00-04:00,9:00 PM,2025-03-12
77,2024021038,20242025,2,24,ANA,https://assets.nhle.com/logos/nhl/svg/ANA_light.svg,59,UTA,https://assets.nhle.com/logos/nhl/svg/UTA_light.svg,Utah,Anaheim,2,3,8482699,8478872,OFF,https://api-web.nhle.com/v1/gamecenter/2024021038/play-by-play,2025-03-12 22:00:00-04:00,10:00 PM,2025-03-12
115,2024021039,20242025,2,8,MTL,https://assets.nhle.com/logos/nhl/svg/MTL_light.svg,55,SEA,https://assets.nhle.com/logos/nhl/svg/SEA_light.svg,Seattle,Montréal,4,5,8477986,8478916,OFF,https://api-web.nhle.com/v1/gamecenter/2024021039/play-by-play,2025-03-12 22:30:00-04:00,10:30 PM,2025-03-12
1,2024021040,20242025,2,13,FLA,https://assets.nhle.com/logos/nhl/svg/FLA_light.svg,10,TOR,https://assets.nhle.com/logos/nhl/svg/TOR_light.svg,Toronto,Florida,3,2,8477935,8475683,OFF,https://api-web.nhle.com/v1/gamecenter/2024021040/play-by-play,2025-03-13 19:00:00-04:00,7:00 PM,2025-03-13
38,2024021041,20242025,2,6,BOS,https://assets.nhle.com/logos/nhl/svg/BOS_light.svg,9,OTT,https://assets.nhle.com/logos/nhl/svg/OTT_light.svg,Ottawa,Boston,3,6,8482092,8476999,OFF,https://api-web.nhle.com/v1/gamecenter/2024021041/play-by-play,2025-03-13 19:00:00-04:00,7:00 PM,2025-03-13
186,2024021042,20242025,2,22,EDM,https://assets.nhle.com/logos/nhl/svg/EDM_light.svg,1,NJD,https://assets.nhle.com/logos/nhl/svg/NJD_light.svg,New Jersey,Edmonton,2,3,8483495,8474596,OFF,https://api-web.nhle.com/v1/gamecenter/2024021042/play-by-play,2025-03-13 19:30:00-04:00,7:30 PM,2025-03-13
75,2024021043,20242025,2,14,TBL,https://assets.nhle.com/logos/nhl/svg/TBL_light.svg,4,PHI,https://assets.nhle.com/logos/nhl/svg/PHI_light.svg,Philadelphia,Tampa Bay,3,4,,8481035,OFF,https://api-web.nhle.com/v1/gamecenter/2024021043/play-by-play,2025-03-13 19:00:00-04:00,7:00 PM,2025-03-13
112,2024021044,20242025,2,19,STL,https://assets.nhle.com/logos/nhl/svg/STL_light.svg,5,PIT,https://assets.nhle.com/logos/nhl/svg/PIT_light.svg,Pittsburgh,St. Louis,3,5,8475810,8477465,OFF,https://api-web.nhle.com/v1/gamecenter/2024021044/play-by-play,2025-03-13 19:00:00-04:00,7:00 PM,2025-03-13
